127.0.0.1 - - [14/Aug/2020:08:43:34 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/logo-backup.png HTTP/1.1" 200 32244
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/css/frontend/owl.carousel.min.css HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/slide2.jpg HTTP/1.1" 200 2995928
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/slide3.jpg HTTP/1.1" 200 3349009
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/slide1.jpg HTTP/1.1" 200 3808733
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/css/frontend/styles.css HTTP/1.1" 200 27502
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 200 3062
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/slide4.jpg HTTP/1.1" 200 428940
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/ HTTP/1.1" 200 328934
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/js/frontend/custom.js HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/precentagae.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/amount.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/js/jquery.min.js HTTP/1.1" 200 87165
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/js/frontend/owl.carousel.min.js HTTP/1.1" 200 44231
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:43:47 -0700] "GET /BookStoreWebsite/images/offers.jpg HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:36 -0700] "GET /BookStoreWebsite/view_category?id=6 HTTP/1.1" 200 59412
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:45 -0700] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 44570
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:46 -0700] "GET /BookStoreWebsite/view_category?id=4 HTTP/1.1" 200 45414
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:47 -0700] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 35478
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:48 -0700] "GET /BookStoreWebsite/view_category?id=9 HTTP/1.1" 200 8776
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:51 -0700] "GET /BookStoreWebsite/view_category?id=5 HTTP/1.1" 200 8770
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:53 -0700] "GET /BookStoreWebsite/view_category?id=7 HTTP/1.1" 200 8774
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:56 -0700] "GET /BookStoreWebsite/ HTTP/1.1" 200 328934
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:56 -0700] "GET /BookStoreWebsite/images/amount.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:56 -0700] "GET /BookStoreWebsite/images/precentagae.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:44:56 -0700] "GET /BookStoreWebsite/images/offers.jpg HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:07 -0700] "GET /BookStoreWebsite/login HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:07 -0700] "GET /BookStoreWebsite/css/frontend/register.css HTTP/1.1" 200 3646
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:07 -0700] "GET /BookStoreWebsite/js/frontend/common.js HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:07 -0700] "GET /BookStoreWebsite/images/login-bg.jpg HTTP/1.1" 200 2829123
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:20 -0700] "POST /BookStoreWebsite/login HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:33 -0700] "POST /BookStoreWebsite/login HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:46 -0700] "POST /BookStoreWebsite/login HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:52 -0700] "GET /BookStoreWebsite/register HTTP/1.1" 200 11075
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:45:52 -0700] "GET /BookStoreWebsite/images/register-bg.jpg HTTP/1.1" 200 4319819
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:48:26 -0700] "GET /BookStoreWebsite/register HTTP/1.1" 200 9914
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:49:58 -0700] "GET /BookStoreWebsite/register HTTP/1.1" 200 9914
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:51:01 -0700] "GET /BookStoreWebsite/css/frontend/styles.css.map HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [14/Aug/2020:08:51:01 -0700] "GET /BookStoreWebsite/css/bootstrap.min.css.map HTTP/1.1" 404 253
